from_df,from_lib
Tadjikistan,Tajikistan
Bonaire,
Serbia and Montenegro,
Republic of Indonesia,Indonesia
St. Kitts-Nevis,Saint Kitts and Nevis
Socialist Republic of Vietnam,Vietnam
Republic of The Marshall Islands,Marshall Islands
United States of America,United States
Cape Verde Islands,Cape Verde
Republic of Ivory Coast,Ivory Coast
The Netherlands,Netherlands
Guadeloupe,
Republic of Djibouti,Djibouti
Wallis And Futuna,Wallis and Futuna
The Netherlands Antilles,Netherlands Antilles
Republic of the Niger,Niger
Commonwealth of the Northern Mariana Islands,Northern Mariana Islands
Korea,
French Guiana,
Tibet,
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Sint-Maarten,Sint Maarten
Macao SAR,Macau
United Kingdom and Overseas Territories,United Kingdom
Surinam,Suriname
Saint-Barthelemy,Saint Barthelemy
Bailwick of Jersey,Jersey
Papau New Guinea,Papua New Guinea
Madeira,
Peoples Republic of Benin,Benin
Bouvet Island,
Bahama Islands,Bahama
Federal Republic of Germany,Germany
Slovak Republic,Slovakia
Czechoslovakia,
Bosnia-Hercegovina,Bosnia and Herzegovina
Burkina-Faso,Burkina Faso
Federated States of Micronesia,Micronesia
Gabon Republic,Gabon
Channel Islands,
Republic of Ireland,Ireland
United Republic of Tanzania,Tanzania
Virgin Islands,U.S. Virgin Islands
Federal Republic of Cameroon,Cameroon
Canary Islands,
Congo,Democratic Republic of the Congo
Holy See,
Stateless,
United States Minor Outlying Islands,
Pitcairn Island,Pitcairn
Republic of South Africa,South Africa
Saint-Martin,Saint Martin
Unspecified,
Martinique,
St. Pierre and Miquelon,
Republic of Palau,
People's Republic of China,China
Azores,
Palestinian Authority ,Palestine
Myanmar ,Myanmar
St. Lucia,Saint Lucia
Democratic Republic of Sudan,Sudan
Solomons,
Hong Kong SAR,Hong Kong
